# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416382576;32107.82;0.60;-32136.18
axle;60;1416382636;-8505.29;0.32;8506.57
axle;60;1416382696;-8.05;0.25;114.05
axle;60;1416382756;4.92;0.12;5.55
axle;60;1416382816;-10.80;0.12;6.05
axle;60;1416382876;-36308.35;0.28;31.32
axle;60;1416382936;1050.49;0.15;14.81
axle;60;1416382996;17542.53;0.22;7.16
axle;60;1416383056;2.22;0.10;5.82
axle;60;1416383116;10228.50;0.20;8.33
axle;60;1416383176;-26749.59;0.27;12.02
axle;60;1416383236;20342.93;0.18;12.13
